,Control,3DTI no reverb,FMod no reverb,3DTI with reverb,FMod with reverb
Number of samples,55,62,48,18,12
Mean Euclidean Error in meters,0.40,1.12,1.13,0.82,1.22
Mean Azimuthal Error in degrees,19.73,49.66,71.23,26.33,76.83
Mean Sagittal Error in degrees,8.69,21.65,17.15,19.06,31.58
Mean Depth Error in meters,0.17,0.40,0.47,0.36,0.38
,,,,,
Adjusted Mean Euclidean Error in meters,0,0.73,0.74,0.42,0.82
Adjusted Mean Azimuthal Error in degrees,0,29.93,51.50,6.61,57.11
Adjusted Mean Sagittal Error in degrees,0,12.95,8.45,10.36,22.89
Adjusted Mean Depth Error in meters,0,0.23,0.31,0.20,0.22